Id	Kanji	Meaning	Onyomi	Kunyomi	PageNo
77	皇	EMPEROR	コウ ・ オウ		52
78	全	WHOLE	ゼン	まった.く ・ すべ.て	52
79	書	WRITE ・ BOOK	ショ	か.く ・ -が.き ・ -がき	52
80	事	AFFAIR ・ ABSTRACT THING	ジ ・ ズ	こと	52
81	自	SELF	ジ ・ シ	みずか.ら ・ おの.ずから*	53
82	貝	SHELLFISH		かい	53
83	見	SEE	ケン	み.る ・ み.える ・ み.せる	53
84	力	POWER	リョク ・ リキ	ちから	53
85	刀	SWORD	トウ	かたな	54
86	切	CUT	セツ ・ サイ	き.る ・ -き.る ・ き.り ・ -き.り ・ -ぎ.り ・ き.れる ・ -き.れる ・ き.れ ・ -き.れ ・ -ぎ.れ	54
87	刃	BLADE	ジン	は	54
88	分	DIVIDE ・ PART ・ MINUTE	ブン ・ フン ・ ブ	わ.ける ・ わ.け ・ わ.かれる ・ わ.かる ・ わ.かつ	54
89	公	PUBLIC	コウ	おおやけ	55
90	別	SEPARATE ・ ANOTHER	ベツ	わか.れる	55
91	長	LONG ・ CHIEF	チョウ	なが.い	55
92	男	MAN	ダン ・ ナン	おとこ	55
93	女	WOMAN	ジョ ・ ニョ ・ ニョウ	おんな ・ め	56
94	子	CHILD ・ NOUN SUFFIX	シ ・ ス	こ ・ -こ ・ -.っこ	56
95	好	LIKE ・ FAVORABLE	コウ	この.む ・ す.く ・ よ.い* ・ い.い*	56
96	安	PEACEFUL ・ INEXPENSIVE	アン	やす.い ・ やす.まる ・ やす ・ やす.らか	56
97	案	PROPOSAL	アン		57
98	字	CHARACTER	ジ	あざ	57
99	学	STUDY ・ EDUCATIONAL INSTITUTION	ガク	まな.ぶ	57
100	父	FATHER	フ	ちち	57
101	文	WRITINGS ・ LETTER	ブン ・ モン	ふみ	58
102	交	INTERCOURSE ・ CROSS	コウ	まじ.わる ・ まじ.える ・ ま.じる ・ ま.ざる ・ ま.ぜる ・ -か.う ・ か.わす	58
103	校	SCHOOL ・ PROOFREAD	コウ		58
104	母	MOTHER	ボ	はは	58
105	毎	EVERY	マイ	-ごと.に*	59
106	海	SEA	カイ	うみ	59
107	者	PERSON	シャ	もの	59
108	工	MANUFACTURE ・ CONSTRUCTION	コウ ・ ク		59
109	式	FORM ・ CEREMONY ・ FORMULA	シキ		60
110	弐	TWO	ニ		60
111	武	MILITARY	ブ ・ ム		60
112	糸	THREAD	シ	いと	60
113	前	BEFORE	ゼン	まえ ・ -まえ	61
114	後	AFTER	ゴ ・ コウ	のち ・ うし.ろ ・ うしろ ・ あと ・ おく.れる	61
115	午	NOON ・  THE HORSE	ゴ		61
116	牛	CATTLE	ギュウ	うし	61
117	年	YEAR	ネン	とし	62
118	件	MATTER	ケン		62
119	条	ARTICLE	ジョウ		62
120	化	CHANGE INTO	カ ・ ケ	ば.ける ・ ば.かす	62
121	花	FLOWER	カ	はな	63
122	北	NORTH	ホク	きた	63
123	比	COMPARE ・ PHONETIC [HI]	ヒ	くら.べる	63
124	背	BACK	ハイ	せ ・ せい ・ そむ.く ・ そむ.ける	63
125	車	VEHICLE ・ WHEEL	シャ	くるま	64
126	気	GAS ・ SPIRIT	キ ・ ケ		64
127	汽	STEAM	キ		64
128	性	NATURE ・ SEX ・ -ITY	セイ ・ ショウ		64
129	畑	FIELD		はた ・ はたけ ・ -ばたけ	65
130	青	BLUE	セイ ・ ショウ	あお ・ あお- ・ あお.い	65
131	麦	WHEAT	バク	むぎ	65
132	素	ELEMENT ・ PLAIN	ソ ・ ス		65
133	毒	POISON	ドク		66
134	先	AHEAD	セン	さき ・ ま.ず*	66
135	洗	WASH	セン	あら.う	66
136	元	ORIGIN	ゲン ・ ガン	もと	66
137	光	LIGHT	コウ	ひか.る ・ ひかり	67
138	去	GO AWAY	キョ ・ コ	さ.る ・ -さ.る	67
139	法	LAW ・ METHOD	ホウ ・ ハッ- ・ ホッ-		67
140	走	RUN	ソウ	はし.る	67
141	当	THE PRESENT ・ HIT	トウ	あ.たる ・ あ.たり ・ あ.てる ・ あ.て	68
142	思	THINK	シ	おも.う	68
143	早	EARLY ・ QUICK	ソウ ・ サッ-	はや.い ・ はや ・ はや- ・ はや.まる ・ はや.める	68
144	草	GRASS	ソウ	くさ ・ くさ- ・ -ぐさ	68
145	朝	MORNING ・ DYNASTY	チョウ	あさ	69
146	潮	TIDE	チョウ	しお	69
147	形	SHAPE	ケイ ・ ギョウ	かた ・ -がた ・ かたち	69
148	発	OPEN UP ・ EMIT ・ START	ハツ ・ ホツ	た.つ*	69
149	廃	ABANDON ・ WASTE	ハイ	すた.れる	70
150	音	SOUND	オン ・ イン	おと ・ ね	70
151	意	MIND ・ MEANING	イ		70
152	作	MAKE ・ WORK	サク ・ サ	つく.る ・ つく.り ・ -ずく.り	70
153	昨	YESTERDAY ・ LAST	サク		71
154	雨	RAIN	ウ	あめ ・ あま-	71
155	電	ELECTRICITY	デン		71
156	頁	PAGE	ケツ ページ	ページ	71
157	首	HEAD ・ NECK ・ LEADER	シュ	くび	72
158	道	WAY	ドウ ・ トウ	みち	72
159	通	PASS ・ COMMUNICATE	ツウ ・ ツ	とお.る ・ とお.り ・ -とお.り ・ -どお.り ・ とお.す ・ とお.し ・ -どお.し ・ かよ.う	72
160	乳	MILK	ニュウ	ちち ・ ち	72
161	豆	BEAN	トウ ・ ズ	まめ ・ まめ-	73
162	頭	HEAD	トウ ・ ズ	あたま ・ かしら ・ -がしら	73
163	予	IN ADVANCE	ヨ	あらかじ.め*	73
164	矛	HALBERD	ム	ほこ	73
165	預	DEPOSIT	ヨ		74
166	句	PHRASE ・ HAIKU	ク		74
167	旬	TEN-DAY PERIOD	ジュン ・ シュン		74
168	勺	&lt;SHAKU&gt; (0.018L)	シャク		74
169	的	TARGET ・ ADJECTIVAL SUFFIX	テキ	まと	75
170	約	PROMISE ・ SHORTEN ・ APPROXIMATELY	ヤク		75
171	勿	DO NOT	モチ ・ モッ-	なか.れ	75
172	物	THING	ブツ ・ モツ	もの ・ もの-	75
173	方	DIRECTION ・ WAY ・ SQUARE	ホウ	かた ・ -かた ・ -がた	76
174	防	DEFEND AGAINST	ボウ	ふせ.ぐ	76
175	面	FACE	メン	おも ・ おもて ・ つら	76
176	画	PICTURE ・ DRAW UP A PLAN	ガ ・ カク		76
177	両	BOTH	リョウ		77
178	岡	HILL		おか	77
179	満	FULL	マン	み.ちる ・ み.つ ・ み.たす	77
180	顔	FACE	ガン	かお	77
181	産	GIVE BIRTH ・ PRODUCE	サン	う.む ・ う.まれる ・ うぶ-	78
182	同	SAME	ドウ	おな.じ	78
183	向	TURN TOWARD	コウ	む.く ・ む.き ・ -む.き ・ む.ける ・ -む.け ・ む.かう ・ む.こう ・ む.こう-	78
184	尚	STILL (MORE) ・ VALUE HIGHLY	ショウ	なお*	78
185	高	HIGH ・ AMOUNT	コウ	たか.い ・ たか ・ -だか ・ たか.まる ・ たか.める	79
186	圧	PRESSURE	アツ		79
187	地	GROUND ・ PLACE	チ ・ ジ		79
188	池	POND	チ	いけ	79
189	他	OTHER	タ	ほか	80
190	集	GATHER	シュウ	あつ.まる ・ あつ.める ・ つど.う	80
191	進	ADVANCE	シン	すす.む ・ すす.める	80
192	込	MOVE INWARD ・ EMPHATIC VERBAL SUFFIX		#NAME?	80
193	斤	&lt;KIN&gt; (600g)	キン		81
194	近	NEAR ・ RECENT	キン	ちか.い	81
195	辺	VICINITY ・ BORDERLAND	ヘン	あた.り ・ -べ	81
196	最	MOST	サイ	もっと.も	81
197	皿	PLATE		さら	82
198	血	BLOOD	ケツ	ち	82
199	温	WARM	オン	あたた.か ・ あたた.かい ・ あたた.まる ・ あたた.める	82
200	湿	MOIST	シツ	しめ.る ・ しめ.す	82
201	爪	CLAW		つめ ・ つま-	83
202	瓜	MELON	カ	うり	83
203	巾	CLOTH	キン		83
204	布	CLOTH ・ SPREAD	フ	ぬの	83
205	市	CITY ・ MARKET	シ	いち	84
206	吊	HANG	チョウ	つ.る ・ つ.り ・ つ.るす	84
207	泉	SPRING	セン	いずみ	84
208	原	PLAIN ・ ORIGINAL	ゲン	はら	84
209	源	SOURCE	ゲン	みなもと	85
210	線	LINE	セン		85
211	綿	COTTON	メン	わた	85
212	絹	SILK	ケン	きぬ	85
213	錦	BROCADE	キン	にしき	86
214	願	WISH ・ ASK A FAVOR	ガン	ねが.う	86
215	内	INSIDE	ナイ ・ ダイ	うち	86
216	肉	FLESH	ニク		86
217	猪	WILD BOAR	チョ	いのしし ・ い	87
218	豚	PIG	トン	ぶた	87
219	家	HOUSE ・ FAMILY	カ ・ ケ	いえ ・ や ・ うち*	87
220	吾	EGO	ゴ	われ ・ わが- ・ あ-	87
221	我	SELF	ガ	われ ・ は ・ わ.が- ・ わが-	88
222	語	WORD ・ LANGUAGE ・ TELL	ゴ	かた.る ・ かた.らう	88
223	伝	TRANSMIT	デン	つた.わる ・ つた.える ・ つた.う ・ -ずた.い	88
224	転	TURN	テン	ころ.がる ・ ころ.げる ・ ころ.がす ・ ころ.ぶ	88
225	芸	ART	ゲイ		89
226	会	MEET ・ SOCIETY	カイ ・ エ	あ.う ・ あ.わせる	89
227	合	COMBINE ・ FIT	ゴウ ・ ガッ- ・ カッ-	あ.う ・ -あ.う ・ あ.い ・ あい- ・ -あ.い ・ -あい ・ あ.わす ・ あ.わせる ・ -あ.わせる	89
228	今	PRESENT ・ THIS	コン ・ キン	いま	89
229	令	COMMAND	レイ		90
230	念	THOUGHTS	ネン		90
231	印	SEAL	イン	しるし ・ -じるし	90
232	命	ORDER ・ LIFE ・ FATE	メイ ・ ミョウ	いのち	90
233	亡	DECEASED	ボウ ・ モウ	な.い ・ な.き-	91
234	米	RICE ・ AMERICA	ベイ ・ マイ	こめ	91
