Id	Kanji	Meaning	Onyomi	Kunyomi	PageNo
416	割	DIVIDE	カツ	わ.る ・ わり ・ わ.り ・ わ.れる ・ さ.く	136
417	憲	CONSTITUTION	ケン		137
418	羽	FEATHER ・ WING	ウ	は ・ は ・ はね	137
419	翌	THE FOLLOWING	ヨク		137
420	習	LEARN ・ CUSTOM	シュウ	なら.う ・ なら.い	137
421	弓	BOW	キュウ	ゆみ	138
422	引	DRAW ・ REDUCE	イン	ひ.く ・ ひ.き ・ ひ.き- ・ -び.き ・ ひ.ける	138
423	強	STRONG	キョウ ・ ゴウ	つよ.い ・ つよ.まる ・ つよ.める ・ し.いる	138
424	弱	WEAK	ジャク	よわ.い ・ よわ.る ・ よわ.まる ・ よわ.める	138
425	風	WIND ・ MANNER	フウ ・ フ	かぜ ・ かざ- ・ -かぜ	139
426	己	ONESELF	コ ・ キ	おのれ	139
427	記	WRITE DOWN	キ	しる.す	139
428	紀	ERA ・ DISCIPLINE	キ		139
429	改	REFORM	カイ	あらた.める ・ あらた.まる	140
430	起	RISE	キ	お.きる ・ お.こる ・ お.こす ・	140
431	姓	SURNAME	セイ ・ ショウ		140
432	由	REASON	ユ ・ ユウ ・ ユイ	よし	140
433	油	OIL	ユ	あぶら	141
434	井	WELL	セイ ・ ショウ	い	141
435	囲	ENCLOSE	イ	かこ.む ・ かこ.う ・ かこ.い	141
436	丼	BOWL	ドン	どんぶり	141
437	丁	TOWN SUBSECTION ・ MISCELLANEOUS COUNTER	チョウ ・ テイ		142
438	寧	COURTEOUS	ネイ		142
439	町	TOWN	チョウ	まち	142
440	灯	LAMP	トウ	ひ	142
441	庁	GOVERNMENT AGENCY	チョウ		143
442	貯	STORE UP	チョ		143
443	易	EASY ・ EXCHANGE ・ FORTUNETELLING	エキ ・ イ	やさ.しい ・ やす.い*	143
444	賜	DEIGN TO GIVE	シ	たまわ.る	143
445	場	PLACE	ジョウ	ば	144
446	湯	HOT WATER	トウ	ゆ	144
447	門	GATE	モン	かど	144
448	間	SPACE IN BETWEEN	カン ・ ケン	あいだ ・ ま	144
449	閉	CLOSE	ヘイ	と.じる ・ と.ざす ・ し.める ・ し.まる	145
450	開	OPEN	カイ	ひら.く ・ ひら.き ・ -び.らき ・ ひら.ける ・ あ.く ・ あ.ける	145
451	関	CONNECT WITH ・ BARRIER	カン	せき ・ -ぜき ・ かか.わる	145
452	問	QUESTION	モン	と.う ・ と.い ・ とん	145
453	聞	HEAR	ブン ・ モン	き.く ・ き.こえる	146
454	訪	VISIT	ホウ	おとず.れる ・ たず.ねる	146
455	送	SEND	ソウ	おく.る	146
456	券	TICKET ・ CERTIFICATE	ケン		146
457	包	WRAP ・ ENCOMPASS	ホウ	つつ.む	147
458	巻	ROLL UP ・ VOLUME	カン	ま.く ・ まき ・ ま.き	147
459	圏	SPHERE	ケン		147
460	勝	WIN ・ EXCEL	ショウ	か.つ ・ -が.ち ・ まさ.る	147
461	戦	WAR	セン	いくさ ・ たたか.う	148
462	単	SINGLE	タン		148
463	簡	SIMPLE	カン		148
464	過	PASS BY ・ EXCEED	カ	す.ぎる ・ -す.ぎる ・ -す.ぎ ・ す.ごす ・ あやま.つ ・ あやま.ち	148
465	骨	BONE	コツ	ほね	149
466	昼	DAYTIME	チュウ	ひる	149
467	夜	NIGHT	ヤ	よ ・ よる	149
468	液	LIQUID	エキ		149
469	戒	CAUTION	カイ	いまし.める	150
470	幾	HOW MANY ・ SOME	キ	いく- ・ いく.つ ・ いく.ら	150
471	畿	CAPITAL REGION	キ		150
472	磯	ROCKY BEACH	キ	いそ	150
473	機	MACHINE ・ AIRCRAFT ・ OPPORTUNITY	キ	はた	151
474	械	MECHANICAL CONTRIVANCE	カイ		151
475	飛	FLY	ヒ	と.ぶ ・ と.ばす ・ -と.ばす	151
476	氏	FAMILY ・ COURTESY TITLE	シ	うじ ・ -うじ	151
477	民	PEOPLE	ミン	たみ	152
478	紙	PAPER	シ	かみ	152
479	低	LOW	テイ	ひく.い ・ ひく.める ・ ひく.まる	152
480	抵	RESIST	テイ		152
481	邸	STATELY RESIDENCE	テイ		153
482	底	BOTTOM	テイ	そこ	153
483	巨	GIANT	キョ		153
484	臣	RETAINER	シン		153
485	基	BASE	キ	もと ・ もとい	154
486	期	TERM ・ EXPECT	キ ・ ゴ		154
487	毛	HAIR	モウ	け	154
488	尾	TAIL	ビ	お	154
489	育	RAISE	イク	そだ.つ ・ そだ.ち ・ そだ.てる ・ はぐく.む	155
490	羊	SHEEP	ヨウ	ひつじ	155
491	洋	OCEAN ・ WESTERN	ヨウ		155
492	魚	FISH	ギョ	うお ・ さかな ・ -ざかな	155
493	鮮	FRESH ・ VIVID	セン	あざ.やか	156
494	蘇	REVIVE	ソ ・ ス	よみがえ.る	156
495	詳	DETAILED	ショウ	くわ.しい	156
496	祥	AUSPICIOUS	ショウ		156
497	美	BEAUTIFUL	ビ	うつく.しい	157
498	業	WORK ・ BUSINESS ・ INDUSTRY	ギョウ ・ ゴウ	わざ	157
499	実	REAL ・ FRUIT	ジツ	み ・ みの.る	157
500	養	FOSTER	ヨウ	やしな.う	157
501	様	MODE ・ FORMAL TITLE	ヨウ	さま	158
502	企	SCHEME	キ	くわだ.てる ・ たくら.み*	158
503	曲	MUSICAL COMPOSITION ・ CURVE	キョク	ま.がる ・ ま.げる	158
504	典	STANDARD WORK ・ CANON	テン		158
505	興	RISE TO PROSPERITY ・ AMUSEMENT	コウ ・ キョウ	おこ.る ・ おこ.す	159
506	輿	PALANQUIN	ヨ	こし	159
507	竜	DRAGON	リュウ	たつ	159
508	滝	WATERFALL		たき	159
509	籠	BASKET	ロウ	かご ・ こ.める ・ こも.る	160
510	辰	THE DRAGON	シン	たつ	160
511	農	FARMING	ノウ		160
512	濃	THICK	ノウ	こ.い	160
513	豊	ABUNDANT	ホウ	ゆたか	161
514	吉	LUCKY	キチ ・ キツ		161
515	詰	STUFF ・ REPRIMAND	キツ	つ.める ・ つ.め ・ -ず.め ・ つ.まる ・ つ.む	161
516	結	TIE ・ CONCLUDE	ケツ	むす.ぶ ・ ゆ.う ・ ゆ.わえる	161
517	投	THROW ・ SEND IN	トウ	な.げる ・ -な.げ	162
518	役	SERVICE	ヤク ・ エキ		162
519	没	SINK	ボツ		162
520	設	SET UP	セツ	もう.ける	162
521	段	STEP	ダン		163
522	殺	KILL	サツ ・ サイ ・ セツ	ころ.す ・ -ごろ.し	163
523	刹	TEMPLE	サツ ・ セツ		163
524	刈	CLIP		か.る	163
525	絵	PICTURE	カイ ・ エ		164
526	給	SUPPLY ・ PAY	キュウ		164
527	巴	CIRCULAR COMMA PATTERN	ハ	ともえ	164
528	色	COLOR ・ EROS	ショク ・ シキ	いろ	164
529	声	VOICE	セイ ・ ショウ	こえ ・ こわ-	165
530	眉	EYEBROW	ビ ・ ミ	まゆ	165
531	里	VILLAGE ・ LEAGUE	リ	さと	165
532	理	REASON ・ BASIC PRINCIPLE ・ MANAGE	リ		165
533	埋	BURY	マイ	う.める ・ う.まる ・ う.もれる	166
534	野	FIELD ・ WILD	ヤ	の ・ の-	166
535	黒	BLACK	コク	くろ ・ くろ.い	166
536	墨	INDIA INK	ボク	すみ	166
537	童	CHILD	ドウ	わらべ	167
538	量	QUANTITY	リョウ	はか.る	167
539	重	HEAVY ・ PILE ON TOP OF	ジュウ ・ チョウ	え ・ おも.い ・ おも.り ・ かさ.ねる ・ かさ.なる	167
540	動	MOVE	ドウ	うご.く ・ うご.かす	167
541	働	WORK	ドウ	はたら.く	168
542	労	LABOR	ロウ		168
543	協	COOPERATE	キョウ		168
544	種	VARIETY ・ SEED	シュ	たね	168
545	亜	SUB- ・ PHONETIC [A]	ア		169
546	悪	BAD	アク ・ オ	わる.い ・ わる- ・ あ.し*	169
547	要	IMPORTANT ・ SUMMARIZE ・ REQUIRE	ヨウ	い.る ・ かなめ	169
548	価	PRICE ・ VALUE	カ	あたい	169
549	必	WITHOUT FAIL	ヒツ	かなら.ず	170
550	証	PROVE ・ CERTIFICATE	ショウ	あか.し*	170
551	歪	DISTORT	ワイ ・ エ	ゆが.む ・ ゆが.み ・ ゆが.める ・ ひず.む ・ ひず.み ・ いびつ	170
552	否	SAY NO ・ OR NOT	ヒ	いな	170
553	処	DEAL WITH	ショ		171
554	拠	GROUNDS	キョ ・ コ		171
555	計	PLAN ・ COMPUTE	ケイ	はか.る ・ はか.らう	171
556	針	NEEDLE	シン	はり	171
557	総	WHOLE ・ GENERAL	ソウ		172
558	窓	WINDOW	ソウ	まど	172
559	矢	ARROW	シ	や	172
560	知	KNOW	チ	し.る ・ し.らせる ・ し.れる	172
561	医	MEDICINE ・ DOCTOR	イ		173
562	短	SHORT	タン	みじか.い	173
563	失	LOSE ・ SLIP	シツ	うしな.う	173
564	鉄	IRON	テツ		173
565	夫	HUSBAND ・ MAN LABORER	フ ・ フウ ・ ブ*	おっと	174
566	朱	VERMILION	シュ		174
567	株	STOCK		かぶ	174
568	族	FAMILY	ゾク		174
569	旅	TRAVEL	リョ	たび	175
570	遊	PLAY ・ TOUR	ユウ ・ ユ	あそ.ぶ ・ あそ.ばす	175
571	施	EXECUTE ・ BESTOW	シ ・ セ	ほどこ.す	175
572	旋	GYRATE	セン		175
573	旗	FLAG	キ	はた	176
574	放	LET GO	ホウ	はな.す ・ -.っぱな.し ・ はな.つ ・ はな.れる ・ ほう.る	176
575	激	VIOLENT ・ AROUSE	ゲキ	はげ.しい	176
576	牧	PASTURE	ボク	まき	176
577	位	RANK ・ POSITION	イ	くらい ・ ぐらい	177
578	泣	CRY	キュウ	な.く	177
579	笑	LAUGH	ショウ	わら.う ・ え.む	177
580	専	EXCLUSIVELY	セン	もっぱ.ら	177
581	恵	FAVOR	ケイ ・ エ	めぐ.む	178
582	連	LINK ・ IN SUCCESSION	レン	つら.なる ・ つら.ねる ・ つ.れる ・ -ず.れ	178
583	軍	ARMY	グン		178
584	運	CARRY ・ MOVE ・ FORTUNE	ウン	はこ.ぶ	178
585	蓮	LOTUS	レン	はす ・ はちす	179
586	隊	PARTY	タイ		179
587	呈	PRESENT	テイ		179
588	程	EXTENT ・ ESTABLISHED FORM	テイ	ほど ・ -ほど	179
589	聖	HOLY ・ SAINT	セイ		180
590	丑	THE OX	チュウ	うし	180
591	紐	STRING	チュウ ・ ジュウ	ひも	180
592	革	LEATHER ・ REFORM	カク	かわ	180
593	靴	SHOES	カ	くつ	181
594	鞄	SUITCASE	ホウ	かばん	181
595	皮	SKIN	ヒ	かわ	181
596	破	BREAK	ハ	やぶ.る ・ やぶ.れる	181
597	彼	THIRD PERSON PRONOUN	ヒ	かれ ・ かの	182
598	波	WAVE	ハ	なみ	182
599	果	FRUIT ・ ACCOMPLISH	カ	はた.す ・ -はた.す ・ は.てる ・ -は.てる ・ は.て	182
600	課	ASSIGNMENT ・ ASSIGN	カ		182
601	巣	NEST	ソウ	す	183
602	菓	CONFECTIONERY	カ		183
603	茶	TEA	チャ ・ サ		183
604	世	WORLD ・ AGE	セイ ・ セ	よ	183
605	葉	LEAF	ヨウ	は	184
606	棄	ABANDON	キ	すて.る	184
607	緑	GREEN	リョク ・ ロク	みどり	184
608	録	RECORD	ロク		184
609	剝	STRIP OFF	ハク	は.げる ・ は.がれる ・ は.ぐ ・ は.がす ・ む.ける* ・ む.く*	185
610	縁	RELATION ・ EDGE	エン ・ -ネン	ふち	185
611	介	MEDIATE	カイ		185
612	界	WORLD ・ BOUNDS	カイ		185
613	浮	FLOATING	フ	う.く ・ う.かれる ・ う.かぶ ・ う.かべる	186
614	将	GENERAL OFFICER	ショウ		186
615	奨	ENCOURAGE	ショウ		186
616	状	FORM ・ CONDITION ・ LETTER	ジョウ		186
617	病	ILLNESS	ビョウ ・ ヘイ	や.む ・ -や.み ・ やまい	187
618	症	PATHOLOGICAL CONDITION	ショウ		187
619	痛	PAIN ・ ACUTE	ツウ	いた.い ・ いた.む ・ いた.ましい ・ いた.める	187
620	憶	REMEMBER	オク		187
621	臆	FEEL TIMID	オク		188
622	億	HUNDRED MILLION	オク		188
623	視	LOOK AT	シ		188
624	規	REGULATION	キ		188
625	則	RULE	ソク		189
626	側	SIDE	ソク	がわ	189
627	測	MEASURE ・ CONJECTURE	ソク	はか.る	189
628	考	THINK	コウ	かんが.える ・ かんが.え	189
629	老	OLD	ロウ	お.いる ・ ふ.ける	190
630	孝	FILIAL PIETY	コウ		190
631	厚	THICK ・ KIND	コウ	あつ.い	190
632	教	TEACH ・ RELIGION	キョウ	おし.える ・ おそ.わる	190
633	完	COMPLETE	カン		191
634	院	INSTITUTION	イン		191
635	奈	PHONETIC [NA]	ナ		191
636	宗	RELIGIOUS SECT	シュウ ・ ソウ		191
637	祭	FESTIVAL	サイ	まつ.る ・ まつ.り ・ まつり	192
638	際	VERGE ・ OCCASION	サイ	きわ ・ -ぎわ	192
639	察	INSPECT ・ GUESS	サツ		192
640	祈	PRAY	キ	いの.る	192
641	祖	ANCESTOR	ソ		193
642	助	HELP	ジョ	たす.ける ・ たす.かる ・ すけ	193
643	仲	INTERMEDIARY ・ PERSONAL RELATIONS	チュウ	なか	193
644	忠	LOYALTY	チュウ		193
645	沖	OPEN SEA	チュウ	おき	194
646	保	PRESERVE	ホ	たも.つ	194
647	呆	DUMB	ホウ ・ ボウ	あき.れる	194
648	守	PROTECT	シュ ・ ス	まも.る ・ まも.り ・ もり ・ -もり	194
649	団	COLLECTIVE	ダン ・ トン		195
650	対	OPPOSITE ・ OPPOSE	タイ	つい	195
651	村	VILLAGE	ソン	むら	195
652	才	TALENT ・ -YEARS OLD	サイ		195
653	財	WEALTH	ザイ ・ サイ		196
654	材	TIMBER ・ MATERIAL	ザイ		196
655	沈	SINK	チン	しず.む ・ しず.める	196
656	枕	PILLOW		まくら	196
657	丈	STATURE ・ STOUT	ジョウ	たけ	197
658	杖	CANE	ジョウ	つえ	197
659	偉	GREAT	イ	えら.い	197
660	緯	LATITUDE	イ		197
661	衛	GUARD	エイ		198
662	韓	(SOUTH) KOREA	カン		198
663	違	DIFFER ・ VIOLATE	イ	ちが.う ・ ちが.い ・ ちが.える ・ -ちが.える	198
664	抱	HOLD	ホウ	だ.く ・ いだ.く ・ かか.える	198
665	砲	HEAVY GUN	ホウ		199
666	泡	BUBBLE	ホウ	あわ	199
667	丹	CINNABAR RED	タン		199
668	舟	SMALL BOAT	シュウ	ふね ・ ふな- ・ -ぶね	199
669	船	SHIP	セン	ふね ・ ふな- ・ -ぶね	200
670	舶	OCEANGOING SHIP	ハク		200
671	般	SORT	ハン		200
672	搬	CARRY	ハン		200
673	盤	DISK ・ BOARD	バン		201
674	歯	TOOTH	シ	は	201
675	冷	COLD	レイ	つめ.たい ・ ひ.える ・ ひ.や ・ ひ.ややか ・ ひ.やす ・ ひ.やかす ・ さ.める ・ さ.ます	201
676	齢	AGE	レイ		201
677	少	LITTLE	ショウ	すく.ない ・ すこ.し	202
678	砂	SAND	サ ・ シャ	すな	202
679	歩	WALK	ホ ・ ブ ・ フ	ある.く ・ あゆ.む	202
680	渉	HAVE RELATIONS WITH	ショウ		202
681	省	MINISTRY ・ SAVE ・ INTROSPECT	セイ ・ ショウ	かえり.みる ・ はぶ.く	203
682	相	ASPECT ・ MUTUAL ・ MINISTER	ソウ ・ ショウ	あい-	203
683	想	CONCEIVE	ソウ ・ ソ		203
684	称	APPELLATION	ショウ		203
685	弥	PHONETIC [MI] ・ PHONETIC [YA]	ミ	いや* ・ や*	204
686	互	RECIPROCAL	ゴ	たが.い	204
687	務	DUTY	ム	つと.める ・ つと.まる	204
688	柔	SOFT	ジュウ ・ ニュウ	やわ.らか ・ やわ.らかい	204
689	軟	SOFT	ナン	やわ.らか ・ やわ.らかい	205
690	軌	TRACK	キ		205
691	軒	EAVES ・ COUNTER FOR HOUSES	ケン	のき	205
692	軸	AXLE ・ AXIS	ジク		205
693	較	COMPARE	カク		206
694	庫	STORAGE CHAMBER	コ ・ ク		206
695	蔵	STORE	ゾウ	くら	206
696	倉	STOREHOUSE	ソウ	くら	206
697	創	CREATE	ソウ	つく.る	207
698	告	NOTIFY ・ ACCUSE	コク	つ.げる	207
699	造	MAKE	ゾウ	つく.る ・ つく.り ・ -ずくり	207
700	衣	GARMENT	イ ・ エ*	ころも	207
701	依	DEPEND ON	イ ・ エ		208
702	袋	BAG	タイ	ふくろ	208
703	褒	COMMEND	ホウ	ほ.める	208
704	裏	REAR	リ	うら	208
705	表	EXPRESS ・ SURFACE ・ TABLE	ヒョウ	おもて ・ -おもて ・ あらわ.す ・ あらわ.れる	209
706	現	ACTUAL ・ APPEAR	ゲン	あらわ.れる ・ あらわ.す	209
707	著	AUTHOR ・ CONSPICUOUS	チョ	あらわ.す ・ いちじる.しい	209
708	制	SYSTEM ・ CONTROL	セイ		209
709	製	MANUFACTURE	セイ		210
710	初	FIRST	ショ	はじ.め ・ はじ.めて ・ はつ ・ はつ- ・ うい- ・ -そ.める ・ -ぞ.め	210
711	裸	NAKED	ラ	はだか	210
712	難	DIFFICULT ・ DISASTER ・ FAULT	ナン	かた.い ・ -がた.い ・ むずか.しい	210
713	准	JUNIOR	ジュン		211
714	準	STANDARD ・ QUASI-	ジュン		211
715	備	PROVIDE	ビ	そな.える ・ そな.わる	211
716	死	DIE	シ	し.ぬ ・ し.に-	211
717	葬	FUNERAL	ソウ	ほうむ.る	212
718	列	COLUMN	レツ		212
719	烈	VEHEMENT	レツ		212
720	裂	SPLIT	レツ	さ.く ・ さ.ける	212
721	例	EXAMPLE	レイ	たと.える	213
722	刑	PENALTY	ケイ		213
723	型	TYPE	ケイ	かた ・ -がた	213
724	研	GRIND ・ RESEARCH	ケン	と.ぐ	213
725	厄	MISFORTUNE	ヤク		214
726	危	DANGEROUS	キ	あぶ.ない ・ あや.うい ・ あや.ぶむ	214
727	範	MODEL	ハン		214
728	怨	HOLD A GRUDGE	エン ・ オン	うら.む* ・ うら.み* ・ うら.めしい*	214
729	苑	IMPERIAL GARDEN	エン ・ オン	その	215
730	宛	ADDRESS		あ.てる ・ -あ.て ・ -あて	215
731	碗	BOWL	ワン		215
732	腕	ARM ・ ABILITY	ワン	うで	215
733	却	ELIMINATE	キャク		216
734	脚	LEG	キャク ・ キャ	あし	216
735	犯	OFFENSE	ハン	おか.す	216
736	狂	CRAZY	キョウ	くる.う ・ くる.おしい ・ くる.わす ・ くる.わせる	216
737	獄	PRISON	ゴク		217
738	非	IS NOT	ヒ		217
739	排	EXCLUDE ・ DISCHARGE	ハイ		217
740	俳	HAIKU	ハイ		217
741	罪	CRIME	ザイ	つみ	218
742	罰	PUNISHMENT	バツ ・ バチ		218
743	伴	ACCOMPANY	ハン ・ バン	ともな.う	218
744	判	JUDGE ・ PERSONAL SEAL	ハン ・ バン		218
745	評	COMMENT	ヒョウ		219
746	批	CRITICIZE	ヒ		219
747	帥	COMMANDER IN CHIEF	スイ		219
748	師	MASTER	シ		219
749	座	SEAT ・ SIT	ザ	すわ.る	220
750	坐	SIT	ザ	すわ.る	220
751	卒	GRADUATE ・ PRIVATE	ソツ		220
752	率	RATE ・ LEAD	ソツ ・ リツ	ひき.いる	220
753	傘	UMBRELLA	サン	かさ	221
754	笠	BAMBOO HAT	リュウ	かさ	221
755	星	STAR	セイ ・ ショウ	ほし ・ -ぼし	221
756	汁	JUICE ・ SOUP	ジュウ	しる ・ -しる	221
757	斗	DIPPER ・ &lt;TO&gt; (18L)	ト		222
758	料	FEE ・ MATERIALS	リョウ		222
759	科	SUBJECT OF STUDY	カ		222
760	然	#NAME?	ゼン ・ ネン		222
761	燃	BURN	ネン	も.える ・ も.やす ・ も.す	223
762	黙	SILENT	モク	だま.る	223
763	獣	BEAST	ジュウ	けもの	223
764	猟	HUNTING	リョウ		223
765	漁	FISHING	ギョ ・ リョウ		224
766	狩	HUNT	シュ	か.る ・ か.り ・ -が.り	224
767	猛	FEROCIOUS	モウ		224
768	煙	SMOKE	エン	けむ.る ・ けむり ・ けむ.い	224
769	焼	BURN	ショウ	や.く ・ や.き ・ や.き- ・ -や.き ・ や.ける	225
770	暁	DAWN	ギョウ	あかつき	225
771	旧	FORMER	キュウ		225
772	児	CHILD	ジ ・ ニ		225
773	亦	ALSO	エキ	また	226
774	赤	RED	セキ ・ シャク	あか ・ あか- ・ あか.い ・ あか.らむ ・ あか.らめる	226
775	変	CHANGE ・ ABNORMAL	ヘン	か.わる ・ か.わり ・ か.える	226
776	蛮	BARBARIAN	バン		226
777	恋	LOVE	レン	こ.う ・ こい ・ こい.しい	227
778	愛	LOVE	アイ	いと.しい*	227
779	憂	BE ANXIOUS ・ GRIEF	ユウ	うれ.える ・ うれ.い ・ う.い ・ う.き	227
780	優	SUPERIOR ・ ACTOR ・ KIND	ユウ	やさ.しい ・ すぐ.れる	227
781	栗	CHESTNUT	リツ ・ リ	くり	228
782	票	SLIP OF PAPER ・ BALLOT	ヒョウ		228
783	標	MARK	ヒョウ		228
784	漂	DRIFT	ヒョウ	ただよ.う	228
785	遷	TRANSFER	セン		229
786	各	EACH	カク	おのおの	229
787	客	VISITOR ・ CUSTOMER	キャク ・ カク		229
788	路	ROAD	ロ	#NAME?	229
789	格	NORM ・ STATUS ・ CHARACTER	カク ・ コウ		230
790	絡	INTERLINK ・ ENTWINE	ラク	から.む ・ から.める ・ から.まる	230
791	略	LEAVE OUT ・ STRATEGY	リャク		230
792	閣	GRAND BUILDING ・ CABINET	カク		230
793	落	FALL	ラク	お.ちる ・ お.ち ・ お.とす	231
794	南	SOUTH	ナン ・ ナ	みなみ	231
795	西	WEST	セイ ・ サイ	にし	231
796	酉	THE BIRD	ユウ	とり	231
797	酒	ALCOHOLIC DRINK	シュ	さけ ・ さか-	232
798	洒	SPRINKLE	シャ ・ サイ		232
799	配	DISTRIBUTE ・ PUT IN ORDER	ハイ	くば.る	232
800	酸	ACID ・ OXYGEN	サン	す.い	232
801	猶	DELAY	ユウ		233
802	尊	HONOR	ソン	たっと.い ・ とうと.い ・ たっと.ぶ ・ とうと.ぶ	233
803	遵	OBEY	ジュン		233
804	導	GUIDE	ドウ	みちび.く	233
805	敬	RESPECT	ケイ	うやま.う	234
806	警	GUARD AGAINST ・ WARN	ケイ		234
807	驚	SURPRISE	キョウ	おどろ.く ・ おどろ.かす	234
808	散	SCATTER	サン	ち.る ・ ち.らす ・ -ち.らす ・ ち.らかす ・ ち.らかる ・ ち.らばる	234
809	敢	BOLDLY	カン	あ.えて* ・ あ.えず*	235
810	厳	SEVERE ・ SOLEMN	ゲン ・ ゴン	おごそ.か ・ きび.しい	235
811	仏	BUDDHA	ブツ ・ フツ*	ほとけ	235
812	払	CLEAR AWAY ・ PAY	フツ	はら.う ・ -はら.い ・ -ばら.い	235
813	拡	ENLARGE	カク		236
814	可	POSSIBLE ・ APPROVE	カ		236
815	何	WHAT ・ HOW MANY	カ	なに ・ なん ・ なに- ・ なん-	236
816	苛	TORMENT	カ	いじ.め* ・ いじ.める* ・ いら* ・ さいな.む*	236
817	荷	LOAD	カ	に	237
818	河	RIVER	カ	かわ	237
819	阿	PHONETIC [A]	ア		237
820	司	ADMINISTER	シ		237
821	伺	INQUIRE	シ	うかが.う	238
822	詞	WORDS	シ		238
823	飼	RAISE ANIMALS	シ	か.う	238
824	冊	COUNTER FOR BOOKS	サツ ・ サク		238
825	嗣	HEIR	シ		239
826	覗	PEEK	シ	のぞ.く	239
827	歌	SONG ・ JAPANESE POEM	カ	うた ・ うた.う	239
828	唄	DITTY		うた ・ うた.う	239
829	負	BEAR ・ LOSE	フ	ま.ける ・ ま.かす ・ お.う	240
830	敗	BE DEFEATED	ハイ	やぶ.れる	240
831	責	RESPONSIBILITY ・ BLAME	セキ	せ.める	240
832	積	ACCUMULATE	セキ	つ.む ・ -ずみ ・ つ.もる ・ つ.もり	240
833	債	DEBT ・ BOND	サイ		241
834	漬	PICKLE		つ.ける ・ つ.かる ・ -ず.け ・ -ずけ	241
835	紡	SPIN	ボウ	つむ.ぐ	241
836	績	ACHIEVEMENTS	セキ		241
837	具	IMPLEMENT	グ		242
838	真	1	シン	ま ・ ま-	242
839	直	STRAIGHT ・ PUT STRAIGHT	チョク ・ ジキ ・ ジカ*	ただ.ちに ・ なお.す ・ -なお.す ・ なお.る ・ す.ぐ*	242
840	植	PLANT	ショク	う.える ・ う.わる	242
841	殖	MULTIPLY	ショク	ふ.える ・ ふ.やす	243
842	値	VALUE	チ	ね ・ あたい	243
843	置	PLACE	チ	お.く ・ -お.き	243
844	県	PREFECTURE	ケン		243
845	州	STATE ・ SANDBAR	シュウ	す	244
846	洲	SANDBAR	シュウ	す	244
847	接	CONTACT	セツ	つ.ぐ	244
848	継	SUCCEED	ケイ	つ.ぐ	244
849	断	CUT OFF ・ DECIDE	ダン	た.つ ・ ことわ.る	245
850	応	RESPOND TO	オウ	こた.える	245
851	床	BED ・ FLOOR	ショウ	とこ ・ ゆか	245
852	麻	HEMP ・ BECOME NUMB	マ	あさ	245
853	歴	PERSONAL HISTORY	レキ		246
854	暦	CALENDAR	レキ	こよみ	246
855	臨	ATTEND ・ CONFRONT	リン	のぞ.む	246
856	園	GARDEN	エン	その	246
857	遠	DISTANT	エン ・ オン	とお.い	247
858	与	GIVE ・ TAKE PART IN	ヨ	あた.える	247
859	写	COPY	シャ	うつ.す ・ うつ.る	247
860	移	MOVE	イ	うつ.る ・ うつ.す	247
861	卸	WHOLESALE		おろ.す ・ おろし ・ おろ.し	248
862	御	GENERAL HONORIFIC TERM	ギョ ・ ゴ	おん- ・ お-* ・ み-*	248
863	複	COMPOUND	フク		248
864	腹	BELLY	フク	はら ・ なか*	248
865	復	RETURN TO	フク		249
866	往	GO ON	オウ		249
867	柱	PILLAR	チュウ	はしら	249
868	征	CONQUER	セイ		249
869	従	FOLLOW	ジュウ ・ ショウ ・ ジュ	したが.う ・ したが.える	250
870	徒	FOLLOWER ・ FELLOW(S) ・ GOING ON FOOT	ト		250
871	縦	VERTICAL	ジュウ	たて	250
872	延	EXTEND ・ POSTPONE	エン	の.びる ・ の.べる ・ の.べ ・ の.ばす	250
873	伸	STRETCH	シン	の.びる ・ の.ばす ・ の.べる	251
874	紳	GENTLEMAN	シン		251
875	縮	SHRINK	シュク	ちじ.む ・ ちじ.まる ・ ちじ.める ・ ちじ.れる ・ ちじ.らす	251
876	誕	BE BORN	タン		251
877	廷	COURT	テイ		252
878	庭	COURTYARD ・ GARDEN	テイ	にわ	252
879	艇	BOAT	テイ		252
880	展	UNFOLD ・ DISPLAY	テン		252
881	殿	PALACE ・ FORMAL HONORIFIC TITLE	デン ・ テン	との ・ -どの	253
882	異	DIFFERENT	イ	こと ・ こと.なる	253
883	翼	WING	ヨク	つばさ	253
884	累	CUMULATE ・ ENCUMBER	ルイ		253
885	塁	BASE ・ SMALL FORT	ルイ		254
886	吏	OFFICIAL	リ		254
887	使	USE ・ ENVOY	シ	つか.う ・ つか.い ・ -つか.い ・ -ずか.い	254
888	史	HISTORY	シ		254
889	更	RENEW ・ FURTHERMORE ・ GROW LATE	コウ	さら ・ さら.に ・ ふ.ける ・ ふ.かす	255
890	便	CONVENIENT ・ POSTAL DELIVERY ・ EXCRETA	ベン ・ ビン	たよ.り	255
891	硬	HARD	コウ	かた.い	255
892	能	ABILITY ・ NOH DRAMA	ノウ		255
893	態	STATE ・ POSTURE	タイ		256
894	熊	BEAR		くま	256
895	罷	DISCONTINUE	ヒ	や.める*	256
896	羅	LINE UP ・ PHONETIC [RA]	ラ		256
897	雲	CLOUD	ウン	くも ・ -ぐも	257
898	曇	CLOUDY	ドン	くも.る	257
899	雪	SNOW	セツ	ゆき	257
900	雷	THUNDER	ライ	かみなり	257
901	零	ZERO	レイ		258
902	震	QUAKE	シン	ふる.う ・ ふる.える	258
